French,English
chercher,search
demande,request
genre,kind
frère,brother
laisse,leash
ville,city
parlé,speak
devrait,should
bébé,baby
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
pourrais,could
donner,give
type,type
leurs,their
endroit,place
dont,whose
trouve,find
premier,first
main,hand
côté,side
sois,be
tellement,so much
enfant,child
point,point
venu,came
suite,after
chambre,bedroom
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
dirait,would say
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
jouer,to play
